text,username,time,image,location,engagement,label
SO SAD: This adult female loggerhead turtle was one of three turtles recovered off Longboat Key today by Mote Marine as the red tide continues to plague Florida's coast. 13 turtles have been recovered by Mote today alone.  😢💔  STORY:  . https   www fox5dc com news loggerhead turtle found dead off longboat key. https   twitter com fox5dc status 1032992763074277376 video 1,fox5dc,{'$date': '2018-08-24T00:00:00Z'},https://pbs.twimg.com/profile_images/1591431828119879681/LQk2og-k_normal.png,Manatee,18,No Label
Red tide lingers around Anna Maria Island as bloom intensifies in Tampa Bay area  . https   www bradenton com news local article270059027 html,bradentonherald,{'$date': '2022-12-16T00:00:00Z'},https://pbs.twimg.com/profile_images/1422199020395577348/BNoyXuoP_normal.jpg,Manatee,398,No Label
"‘We’re sick of the inaction.’

Today in @StPeteFL hundreds of people rallied against #RedTide. They’re calling for immediate action and demanding accountability from elected officials. Hear from them at 6 on @WFLA.  . https   www wfla com news rally against red tide happening in st pete today. https   twitter com WFLANiko status 1416515523039346690 video 1",NBCNiko,{'$date': '2021-07-17T00:00:00Z'},https://pbs.twimg.com/profile_images/1340133980117590017/Sy-SjYjj_normal.jpg,Pinellas,47,No Label
"The crisis here in Florida is heartbreaking. Our leaders are beholden to big ag and allowing them to destroy our priceless ecosystems, some of which are the most diverse in the world. Call Rick Scott and demand he act on #LakeO and #senditsouth. #toxic18
. http   www nbc 2 com story 38787021 manatee found paralyzed by red tide in lemon bay",oneprotestinc,{'$date': '2018-08-08T00:00:00Z'},https://pbs.twimg.com/profile_images/932779086828789760/WRrM8QyH_normal.jpg,Sarasota,51,No Label
"News from St. Petersburg, FL, in one picture:
1. Red tide is killing fish* in Tampa Bay.
2. Hurricane Elsa is extending her furthest reach to us as she approaches tonight.
3. As a result, the kids are home early and off tomorrow.

Wish us luck! . https   twitter com Brad_Rosenheim status 1412543154151120896 photo 1",Brad_Rosenheim,{'$date': '2021-07-06T00:00:00Z'},https://pbs.twimg.com/profile_images/1088542987691401218/aW3Q24Au_normal.jpg,Pinellas,30,acad
@ParaFrex @StephenKing It’s a natural occurrence that has gotten worse because of fertilizer that’s been dumped into the bay and waterways. Fertilizer feeds the algae and it grows to excessive amounts that causes the red tide and kills fish. St Pete cleaned up 6 tons of dead fish. Smell was awful.. ,Stephanienase5,{'$date': '2021-08-02T00:00:00Z'},https://pbs.twimg.com/profile_images/1568055502071910405/-ryhuDa2_normal.jpg,Pinellas,42,No Label
"@rickyraper2014 @fedup4usa @Franklin_Graham @GovRonDeSantis Not all Shriners are 33-degree Masons, but the ones in Sarasota are. who gave us red tide, he did. They all came from The Greatest Show on Earth. Ringling Brothers Circus. manipulated DNA, made their own humans, male to female, female to male. . https   twitter com fl_michaela status 1608742964075061250 photo 1",fl_michaela,{'$date': '2022-12-30T00:00:00Z'},https://pbs.twimg.com/profile_images/1589295968167534592/vEWq1jKJ_normal.jpg,Sarasota,36,No Label
"Red Tide Effect- Nearly empty restaurant, BRGR Kitchen and Bar, and few at pool, Treasure Island Beach Resort, 10800 Gulf Boulevard, Treasure Island, Wednesday, 9/12/18. Beach clear behind resort. @TB_Times #Redtide #floridatourism #florida #TampaBay . https   twitter com SKeelerTimes status 1039966023284338688 photo 1",SKeelerTimes,{'$date': '2018-09-12T00:00:00Z'},https://pbs.twimg.com/profile_images/1232520706291838976/JoKFn6g6_normal.jpg,Pinellas,42,other
".@FLGovScott is declaring a state of emergency due to impacts of red tide in Collier, Lee, Charlotte, Sarasota, Manatee, Hillsborough &amp; Pinellas counties: . https   twitter com SamanthaJoRoth status 1029102459128606723 photo 1",SamanthaJoRoth,{'$date': '2018-08-13T00:00:00Z'},https://pbs.twimg.com/profile_images/1624072504439447552/nyeRCRtg_normal.jpg,Pinellas,41,No Label
"The FWC said the highest concentrations were found at Sunken Island in the Hillsborough Bay, Anclote Key, Sand Key and Snake Key. . https   patch com florida palmharbor s hnk47 high levels red tide detected hillsborough pasco counties",PalmHarborPatch,{'$date': '2021-07-01T00:00:00Z'},https://pbs.twimg.com/profile_images/940300116962951168/abuTJV7S_normal.jpg,Pasco,0,No Label
